Test Time(ms),Current(A),Inlet Temp,Outlet Temp,Thermocouple Temperature,Average Tab Temp,Test Time (s)
6072230,0,24.6953026,24.6833266,25.1705,24.6893146,0
6132230,0,24.6070934,24.7756714,25.221,24.6913824,60
6192230,0,24.5597773,24.5435386,25.2526,24.55165795,120
6252230,0,24.7877938,24.7563976,25.2326,24.7720957,180
6312230,0,24.8753607,24.6354598,25.1909,24.75541025,240
6372230,0,24.6203676,24.7701646,25.2259,24.6952661,300
6432230,0,24.7522532,25.3155496,25.1629,25.0339014,360
6492230,0,24.8509533,24.8074414,25.1386,24.82919735,420
6552230,0,24.4587221,24.5560348,25.1275,24.50737845,480
6612230,0,24.4570093,24.6826912,25.1254,24.56985025,540
6672230,0,24.8963425,24.6894688,25.0921,24.79290565,600
6732230,0,24.6270047,24.8593324,25.1857,24.74316855,660
6792230,0,24.5966025,24.7879558,25.126,24.69227915,720
6852230,0,25.0083168,24.7583038,25.1944,24.8833103,780
6912230,0,24.7147857,24.7180618,25.1621,24.71642375,840
6972230,0,24.4812026,24.5954296,25.222,24.5383161,900
7032230,0,24.6060229,24.7362766,25.1416,24.67114975,960
7092230,0,24.5509992,24.6890452,25.2384,24.6200222,1020
7152230,0,24.6242214,24.811042,25.1319,24.7176317,1080
7212230,0,25.1087297,24.8229028,25.1751,24.96581625,1140
7272230,0,24.5683413,24.6348244,25.133,24.60158285,1200
7272330,14.0111,24.8241908,24.743266,25.1346,24.7837284,1200.1
7273230,14.0138,24.5342994,24.7144612,25.2002,24.6243803,1201
7274230,14.0161,24.6006704,24.7714354,25.234,24.6860529,1202
7275230,14.0161,24.5831142,24.5871694,25.1428,24.5851418,1203
7276230,14.0161,24.5764771,25.1016316,25.2155,24.83905435,1204
7277230,14.0161,24.533443,24.7023886,25.1235,24.6179158,1205
7278230,14.0162,24.5107484,24.6528274,25.1617,24.5817879,1206
7279230,14.0161,24.3662309,24.6314356,25.1836,24.49883325,1207
7280230,14.0161,24.9524367,25.0446574,25.2672,24.99854705,1208
7281230,14.0161,24.5734797,24.6386368,25.1266,24.60605825,1209
7282230,14.0161,24.5544248,24.6422374,25.2364,24.5983311,1210
7283230,14.0161,24.9834812,25.054612,25.1396,25.0190466,1211
7284230,14.0161,24.6068793,24.5911936,25.2895,24.59903645,1212
7285230,14.0161,24.5599914,24.8991508,25.2173,24.7295711,1213
7286230,14.016,24.5212393,24.6678652,25.2406,24.59455225,1214
7287230,14.016,24.6124459,24.7786366,25.1783,24.69554125,1215
7288230,14.0161,24.7293445,24.8752174,25.1483,24.80228095,1216
7289230,14.0161,24.7627441,25.265353,25.2579,25.01404855,1217
