Test Time(ms),Current (A),Inlet Temp,Outlet Temp,Thermocouple Temp,Average Tab Temp,Test Time (s)
2372630,0,22.9386121,23.1731926,25.1617,23.05590235,0
2432630,0,22.9535991,23.2767628,25.1493,23.11518095,60
2492630,0,23.109678,23.3108626,25.0865,23.2102703,120
2552630,0,23.2064512,23.2460518,25.1557,23.2262515,180
2612630,0,23.1400802,23.3619064,25.1387,23.2509933,240
2672630,0,23.0428788,23.3606356,25.1701,23.2017572,300
2732630,0,23.1465032,23.3858398,25.0586,23.2661715,360
2792630,0,23.1786182,23.3091682,25.1547,23.2438932,420
2852630,0,23.2092345,23.251135,25.1756,23.23018475,480
2912630,0,23.004769,23.2939186,25.1462,23.1493438,540
2972630,0,23.1458609,23.2566418,25.095,23.20125135,600
3032630,0,23.2364252,23.3500456,25.1792,23.2932354,660
3092630,0,22.839912,23.360212,25.1508,23.100062,720
3152630,0,23.0784194,23.3669896,25.2206,23.2227045,780
3212630,0,23.1038973,23.3796976,25.1456,23.24179745,840
3272630,0,23.4618725,23.9873518,25.1348,23.72461215,900
3332630,0,23.1559236,23.4178216,25.1939,23.2868726,960
3392630,0,23.1908219,23.4362482,25.1343,23.31353505,1020
3452630,0,23.265971,23.8575184,25.2268,23.5617447,1080
3512630,0,23.1634171,23.4635704,25.1677,23.31349375,1140
3572630,0,23.0938346,23.4029956,25.1372,23.2484151,1200
3632630,0,23.0612914,23.3744026,25.2309,23.217847,1260
3692630,0,23.2518404,23.4927988,25.2211,23.3723196,1320
3692730,14.0147,23.2518404,23.4927988,25.2211,23.3723196,1320.1
3693630,14.0187,23.2473443,23.6340694,25.1704,23.44070685,1321
3694630,14.0161,23.2201536,23.8964896,25.246,23.5583216,1322
3695630,14.016,23.1629889,23.4644176,25.2189,23.31370325,1323
3696630,14.0161,23.6278,23.412103,25.2208,23.5199515,1324
3697630,14.0161,23.1691978,23.4500152,25.2775,23.3096065,1325
3698630,14.016,23.2098768,23.3661424,25.2204,23.2880096,1326
3699630,14.0159,23.1897514,23.8285018,25.2213,23.5091266,1327
3700630,14.0159,23.1691978,23.5853554,25.2468,23.3772766,1328
3701630,14.0161,23.1721952,23.4508624,25.2709,23.3115288,1329
3702630,14.0158,23.2417777,23.4836914,25.2418,23.36273455,1330
3703630,14.0159,23.2968014,23.5309228,25.2683,23.4138621,1331
3704630,14.016,23.2111614,23.585779,25.2137,23.3984702,1332
3705630,14.016,23.2047384,23.3900758,25.2461,23.2974071,1333
3706630,14.016,23.7468396,23.6020876,25.199,23.6744636,1334
3707630,14.016,23.1435058,23.8206652,25.2764,23.4820855,1335
3708630,14.016,23.2604044,23.5086838,25.283,23.3845441,1336
3709630,14.0159,23.7506934,23.793343,25.2354,23.7720182,1337
3710630,14.016,23.2989424,23.495764,25.2177,23.3973532,1338
3711630,14.016,23.5091886,23.3769442,25.2769,23.4430664,1339
3712630,14.0159,23.2563365,23.4472618,25.2816,23.35179915,1340
