SOC,OCV
0,9
0.05,9.301
0.15,9.569
0.25,9.733
0.35,9.870
0.45,9.960
0.55,10.026
0.65,10.084
0.75,10.131
0.85,10.176
0.95,10.215
1.05,10.252
1.15,10.288
1.25,10.321
1.35,10.351
1.45,10.381
1.55,10.412
1.65,10.438
1.75,10.464
1.85,10.490
1.95,10.514
2.05,10.536
2.15,10.558
2.25,10.579
2.35,10.599
2.45,10.620
2.55,10.638
2.65,10.660
2.75,10.679
2.85,10.696
2.95,10.712
3.05,10.729
3.15,10.746
3.25,10.763
3.35,10.778
3.45,10.793
3.55,10.808
3.65,10.824
3.75,10.837
3.85,10.850
3.95,10.862
4.05,10.875
4.15,10.888
4.25,10.903
4.35,10.915
4.45,10.928
4.55,10.940
4.65,10.951
4.75,10.962
4.85,10.972
4.95,10.982
5.05,10.992
5.15,11.001
5.25,11.009
5.35,11.018
5.45,11.025
5.55,11.032
5.65,11.038
5.75,11.043
5.85,11.049
5.95,11.055
6.05,11.060
6.15,11.064
6.25,11.067
6.35,11.070
6.45,11.073
6.55,11.076
6.65,11.079
6.75,11.081
6.85,11.083
6.95,11.084
7.05,11.086
7.15,11.088
7.25,11.089
7.35,11.090
7.45,11.091
7.55,11.092
7.65,11.093
7.75,11.094
7.85,11.095
7.95,11.096
8.05,11.097
8.15,11.097
8.25,11.098
8.35,11.099
8.45,11.100
8.55,11.101
8.65,11.102
8.75,11.102
8.85,11.103
8.95,11.104
9.05,11.104
9.15,11.105
9.25,11.106
9.35,11.106
9.45,11.107
9.55,11.108
9.65,11.109
9.75,11.110
9.85,11.110
9.95,11.111
10.05,11.112
10.15,11.113
10.25,11.114
10.35,11.115
10.45,11.116
10.55,11.117
10.65,11.118
10.75,11.119
10.85,11.120
10.95,11.121
11.05,11.122
11.15,11.123
11.25,11.124
11.35,11.126
11.45,11.127
11.55,11.129
11.65,11.130
11.75,11.132
11.85,11.134
11.95,11.136
12.05,11.138
12.15,11.139
12.25,11.141
12.35,11.143
12.45,11.145
12.55,11.147
12.65,11.149
12.75,11.151
12.85,11.153
12.95,11.155
13.05,11.157
13.15,11.159
13.25,11.161
13.35,11.163
13.45,11.165
13.55,11.167
13.65,11.169
13.75,11.171
13.85,11.172
13.95,11.174
14.05,11.175
14.15,11.177
14.25,11.179
14.35,11.180
14.45,11.182
14.55,11.184
14.65,11.186
14.75,11.188
14.85,11.191
14.95,11.193
15.05,11.195
15.15,11.196
15.25,11.198
15.35,11.200
15.45,11.201
15.55,11.203
15.65,11.204
15.75,11.206
15.85,11.207
15.95,11.209
16.05,11.210
16.15,11.212
16.25,11.214
16.35,11.215
16.45,11.217
16.55,11.218
16.65,11.220
16.75,11.221
16.85,11.223
16.95,11.225
17.05,11.226
17.15,11.228
17.25,11.229
17.35,11.231
17.45,11.233
17.55,11.234
17.65,11.236
17.75,11.237
17.85,11.238
17.95,11.240
18.05,11.241
18.15,11.243
18.25,11.244
18.35,11.245
18.45,11.247
18.55,11.248
18.65,11.249
18.75,11.251
18.85,11.252
18.95,11.253
19.05,11.254
19.15,11.256
19.25,11.257
19.35,11.258
19.45,11.259
19.55,11.261
19.65,11.262
19.75,11.263
19.85,11.264
19.95,11.266
20.05,11.267
20.15,11.268
20.25,11.270
20.35,11.271
20.45,11.272
20.55,11.273
20.65,11.274
20.75,11.276
20.85,11.277
20.95,11.278
21.05,11.279
21.15,11.280
21.25,11.282
21.35,11.283
21.45,11.284
21.55,11.285
21.65,11.286
21.75,11.287
21.85,11.288
21.95,11.290
22.05,11.291
22.15,11.292
22.25,11.293
22.35,11.294
22.45,11.295
22.55,11.296
22.65,11.297
22.75,11.298
22.85,11.299
22.95,11.300
23.05,11.301
23.15,11.302
23.25,11.303
23.35,11.304
23.45,11.305
23.55,11.306
23.65,11.307
23.75,11.308
23.85,11.309
23.95,11.310
24.05,11.311
24.15,11.312
24.25,11.313
24.35,11.314
24.45,11.315
24.55,11.316
24.65,11.317
24.75,11.319
24.85,11.320
24.95,11.322
25.05,11.323
25.15,11.324
25.25,11.325
25.35,11.325
25.45,11.326
25.55,11.327
25.65,11.328
25.75,11.329
25.85,11.330
25.95,11.331
26.05,11.332
26.15,11.333
26.25,11.334
26.35,11.335
26.45,11.335
26.55,11.336
26.65,11.337
26.75,11.338
26.85,11.339
26.95,11.340
27.05,11.340
27.15,11.341
27.25,11.342
27.35,11.343
27.45,11.344
27.55,11.344
27.65,11.345
27.75,11.346
27.85,11.347
27.95,11.347
28.05,11.348
28.15,11.349
28.25,11.350
28.35,11.350
28.45,11.351
28.55,11.352
28.65,11.353
28.75,11.353
28.85,11.354
28.95,11.355
29.05,11.356
29.15,11.357
29.25,11.358
29.35,11.359
29.45,11.359
29.55,11.360
29.65,11.361
29.75,11.362
29.85,11.362
29.95,11.363
30.05,11.364
30.15,11.365
30.25,11.365
30.35,11.366
30.45,11.367
30.55,11.367
30.65,11.368
30.75,11.369
30.85,11.369
30.95,11.370
31.05,11.371
31.15,11.372
31.25,11.373
31.35,11.373
31.45,11.374
31.55,11.375
31.65,11.375
31.75,11.376
31.85,11.377
31.95,11.378
32.05,11.379
32.15,11.379
32.25,11.380
32.35,11.381
32.45,11.382
32.55,11.382
32.65,11.383
32.75,11.384
